"all_names","ETS","ITS","matK","trnDT","trnLF"
"C paraunana",TRUE,TRUE,FALSE,TRUE,TRUE
"C parvistipula",TRUE,TRUE,FALSE,TRUE,TRUE
"C pascuorum",TRUE,TRUE,TRUE,TRUE,TRUE
"C petiolata",TRUE,FALSE,TRUE,TRUE,TRUE
"C philippi",TRUE,TRUE,FALSE,TRUE,TRUE
"C phyllostachya",FALSE,TRUE,TRUE,TRUE,TRUE
"C pilosa",TRUE,TRUE,TRUE,TRUE,TRUE
"C planaltoana",TRUE,TRUE,TRUE,TRUE,TRUE
"C planifolia",TRUE,TRUE,FALSE,TRUE,TRUE
"C pohliana",TRUE,FALSE,FALSE,TRUE,TRUE
"C polita",TRUE,TRUE,FALSE,TRUE,TRUE
"C polymorpha",TRUE,TRUE,FALSE,TRUE,TRUE
"C polystachya",FALSE,TRUE,TRUE,TRUE,TRUE
"C potentilla",TRUE,TRUE,TRUE,TRUE,TRUE
"C pumila",FALSE,TRUE,FALSE,FALSE,TRUE
"C punctata",TRUE,FALSE,FALSE,TRUE,FALSE
"C punctulata",TRUE,TRUE,TRUE,TRUE,TRUE
"C punctulifera",TRUE,FALSE,FALSE,TRUE,FALSE
"C ramosa",FALSE,TRUE,TRUE,TRUE,TRUE
"C repens",TRUE,TRUE,FALSE,TRUE,TRUE
"C roncadorensis",FALSE,TRUE,TRUE,TRUE,TRUE
"C roraimae",TRUE,TRUE,TRUE,TRUE,TRUE
"C rossicorum",TRUE,TRUE,FALSE,TRUE,TRUE
"C rotundata",TRUE,TRUE,FALSE,TRUE,TRUE
"C rotundifolia",TRUE,TRUE,FALSE,TRUE,TRUE
"C rufa",FALSE,FALSE,TRUE,TRUE,FALSE
"C rupertiana",TRUE,TRUE,TRUE,TRUE,FALSE
"C rupestrium",FALSE,TRUE,TRUE,TRUE,TRUE
"C salvatoris",TRUE,TRUE,TRUE,FALSE,FALSE
"C scabra",TRUE,TRUE,FALSE,TRUE,TRUE
"C scleroxylon",TRUE,TRUE,TRUE,TRUE,TRUE
"C secunda",FALSE,TRUE,FALSE,FALSE,TRUE
"C serpens",TRUE,FALSE,TRUE,FALSE,TRUE
"C setosa",FALSE,TRUE,TRUE,TRUE,TRUE
"C simplifacta",TRUE,TRUE,TRUE,TRUE,TRUE
"C sincorana",TRUE,TRUE,TRUE,TRUE,TRUE
"C sophoroides",TRUE,FALSE,TRUE,TRUE,FALSE
"C souzana",TRUE,TRUE,FALSE,TRUE,TRUE
"C sparsifolia",FALSE,TRUE,FALSE,FALSE,TRUE
"C speciosa",FALSE,TRUE,FALSE,FALSE,TRUE
"C spodiotricha",TRUE,TRUE,TRUE,TRUE,FALSE
"C stillifera",TRUE,TRUE,TRUE,TRUE,TRUE
"C strictifolia",TRUE,TRUE,TRUE,TRUE,TRUE
"C strictula",TRUE,TRUE,TRUE,TRUE,TRUE
"C supplex",TRUE,TRUE,FALSE,TRUE,TRUE
"C swainsonii",TRUE,TRUE,FALSE,TRUE,TRUE
"C tenuicaulis",FALSE,TRUE,FALSE,FALSE,TRUE
"C tenuisepala",TRUE,TRUE,FALSE,TRUE,TRUE
"C tephrosiifolia",TRUE,FALSE,TRUE,TRUE,FALSE
"C tocantinensis",TRUE,TRUE,FALSE,FALSE,TRUE
"C tragacanthoides",TRUE,TRUE,TRUE,TRUE,TRUE
